"site","year","month","dayl","prcp","srad","swe","tmax","tmin","tave","vp","ET_har","ET_thorn","spei_01","spei_02","spei_03","spei_04","spei_05","spei_06","spei_07","spei_08","spei_09","spei_10","spei_11","spei_12"
"PumpHouse",1998,6,52796.16041664,0.833333333333333,622.613331096667,180.666666666667,18.2166666666667,1.6,9.90833333333333,445.333333333333,133.056350372087,74.6442529023938,1.30419815143919,0.202189195955437,0.381787930869347,0.443602783251061,0.490780789645328,0.443923216964904,0.493922014007723,0.569953256943892,0.53743837327175,0.535631114593706,0.71778268595486,0.694430781462783
"PumpHouse",1998,7,51940.3355594774,2.45161290322581,495.483869,46.9677419354839,23.6612903225806,7.5,15.5806451612903,610.322580645161,158.792664461139,109.230529728606,0.157214171764287,1.02189132523775,0.221322368570614,0.340535655241661,0.403557370470606,0.450360853874176,0.40384549637687,0.44462866490497,0.524379957608084,0.515676598957852,0.528536475471504,0.689603607982239
"PumpHouse",1998,8,48495.4838709677,0.967741935483871,465.651614280645,0,22.8064516129032,5.66129032258065,14.2338709677419,683.870967741935,140.991677421605,95.4822812407459,-0.860292402444916,-0.344525492523633,0.491213893485346,-0.12902281528844,0.047307170641455,0.121436572695488,0.174002721702404,0.140869829688592,0.181386136890071,0.266934117483737,0.267926252254264,0.281588794985881
"PumpHouse",1998,9,43983.3600260433,0.666666666666667,421.013333636667,0,21.1166666666667,3.53333333333333,12.325,698.666666666667,107.244216808453,74.8039011059754,-2.01372579907449,-1.91263956021598,-1.06544288546581,-0.200827501713622,-0.630980849349666,-0.405175650529778,-0.337969897385503,-0.28304450339516,-0.292431873074341,-0.248047553941705,-0.154520063354291,-0.12872423593774
"PumpHouse",1998,10,39320.3612651161,2.93548387096774,307.716128932258,1.16129032258065,10.9516129032258,-3.19354838709677,3.87903225806452,486.451612903226,53.7016979719418,27.3985624478939,0.682855476313466,-1.11399611788174,-1.43199104460003,-0.777629080699473,0.00999141969680403,-0.488760226819301,-0.289885012071709,-0.212488012555105,-0.150951531460429,-0.167540213480262,-0.12445933122197,-0.0315502798805956
"PumpHouse",1998,11,35400.9598958367,2.56666666666667,292.16000036,41.4666666666667,4.4,-8.81666666666667,-2.20833333333333,326.666666666667,26.8107940153831,0,-0.0195744438659837,0.477329877475346,-0.841159323093744,-1.30373228270187,-0.718817176936378,0.075151419346789,-0.442401562443773,-0.24929866456993,-0.1793079560384,-0.116747514728809,-0.132193662567202,-0.0871113482980075
"PumpHouse",1998,12,33592.31953128,0.6,283.840000916667,59.6,0.366666666666667,-14.7333333333333,-7.18333333333333,213.333333333333,17.0645643831687,0,-1.23888831000639,-0.713750881346993,-0.123125744372236,-1.1680139970335,-1.50156147012982,-0.951932463609554,-0.130155134302643,-0.584894236488472,-0.372023170262509,-0.299339228004091,-0.239157354778933,-0.250033113251254
"PumpHouse",1999,1,34593.4451864839,3.19354838709677,281.39355026129,82.7096774193548,-0.0806451612903226,-13.3709677419355,-6.7258064516129,228.387096774194,18.4155897303016,0,-0.481943137076573,-0.961810985403689,-0.81837058329916,-0.30147444114244,-1.25742070334282,-1.54985984541,-1.04268735041718,-0.247725565802304,-0.613282618387902,-0.394157775627612,-0.313981704773099,-0.258661796725669
"PumpHouse",1999,2,37892.5714285714,1.89285714285714,406.400000435714,164.571428571429,2.05357142857143,-14,-5.97321428571429,215.714285714286,26.3678310948374,0,-1.07930777365481,-0.975577476508541,-1.18893561137387,-1.00668970727397,-0.524242153693879,-1.36302118854022,-1.69157729023024,-1.19612321977498,-0.369869512979765,-0.698413287834556,-0.472432856850365,-0.388958013883455
"PumpHouse",1999,3,42263.5355342742,0.838709677419355,510.038707119355,204.645161290323,7.79032258064516,-8.14516129032258,-0.17741935483871,335.483870967742,57.7785462527848,0,-1.5302260739486,-1.71878703014389,-1.61892176433202,-1.68904661233125,-1.5593885704787,-1.10364608240057,-1.68097610146768,-1.89779093339843,-1.49591468402676,-0.765734675616179,-0.98106973482,-0.734516268239546
"PumpHouse",1999,4,46944.0000000033,4.26666666666667,495.14666799,225.333333333333,6.91666666666667,-6.93333333333333,-0.00833333333333333,373.333333333333,65.9000630344116,0,1.18855063033766,-0.0211287280117777,-0.286298944957424,-0.342570869254621,-0.535892505505712,-0.520727365264898,-0.28206119306979,-0.96683826994255,-1.20399093515531,-0.951143378905655,-0.298791774735044,-0.555533556477058
"PumpHouse",1999,5,50870.0903477806,2.38709677419355,633.600000196774,238.967741935484,12.6774193548387,-2.45161290322581,5.11290322580645,486.451612903226,103.752099152397,43.8569472897715,0.780796900212418,1.06681120663903,0.385429790096829,0.204139129748332,0.116312392482135,-0.0324320437431929,-0.0243564355257952,0.111812714935818,-0.472682329784778,-0.703225458577761,-0.589659890476153,-0.0601339139861949
"PumpHouse",1999,6,52796.16041664,1.03333333333333,609.706670123333,166.133333333333,19.5333333333333,1.98333333333333,10.7583333333333,641.333333333333,140.936884904098,79.7275671279292,0.578360349461326,0.807515848563863,1.03756919455648,0.500088669257076,0.343384792952464,0.26694600309603,0.170215220544932,0.168635270651164,0.264334607328149,-0.221030739847036,-0.424750838935331,-0.370099442656359
"PumpHouse",1999,7,51940.3355594774,3.51612903225806,435.199998916129,33.6774193548387,22.4354838709677,7.09677419354839,14.7661290322581,967.741935483871,150.923979090719,104.635287306019,1.1888539866842,1.10100125263355,1.11019906922334,1.26233443583347,0.773352296531344,0.624189067346358,0.536506196981236,0.43916671488522,0.437594261924475,0.527481419440584,0.0958482382324834,-0.108385543961713
"PumpHouse",1999,8,48495.4838709677,2.70967741935484,405.26451553871,0,20.6612903225806,6.24193548387097,13.4516129032258,932.903225806452,126.141682394864,91.2583132284012,1.49277318878436,1.59308879956964,1.52568919323067,1.53379518997038,1.62639693892249,1.10022505641377,0.93811058559711,0.836647157310544,0.723173783515035,0.704878372707401,0.779129601607173,0.358804033679233
"PumpHouse",1999,9,43983.3600260433,1.96666666666667,405.33333435,0,16.7333333333333,0.666666666666667,8.7,652,90.1789112058043,56.6030386904391,0.859614229528639,1.50806223409853,1.53394898042123,1.55131464654987,1.66843337173311,1.75765602513811,1.27971010079335,1.10439436435547,0.992345777198356,0.861812590646314,0.833880693552328,0.900795025601536
"PumpHouse",1999,10,39320.3612651161,1.19354838709677,369.96128943871,0.774193548387097,14.4516129032258,-4.53225806451613,4.95967741935484,445.161290322581,65.3134557819995,33.3550389897623,-1.75294549405014,-0.369169808129491,0.660236372819325,1.0001150322803,1.05719028933822,1.19294093006115,1.36090246626188,0.889725181555914,0.732295008543815,0.645802337369487,0.531254754106227,0.523253014166389
"PumpHouse",1999,11,35400.9598958367,0.466666666666667,309.33333181,10.6666666666667,9.75,-7.98333333333333,0.883333333333333,350.666666666667,37.2139454861453,7.34590564727082,-2.05881479235047,-2.28626369837346,-1.74078511807409,-0.388536262821811,0.399935349696239,0.547756832584786,0.669129786048533,0.893109811516701,0.466727735624929,0.335253910551085,0.269481486897055,0.174720468044861
"PumpHouse",1999,12,33592.31953128,1.13333333333333,259.83999862,38.5333333333333,-0.666666666666667,-15.2333333333333,-7.95,192,15.5501603700179,0,-0.624803697178148,-1.96491691902798,-2.17955014807203,-1.66720253693605,-0.571269268728909,0.260628096424684,0.441202920145793,0.588367958789479,0.829308056673263,0.406289224607298,0.275594697965773,0.212096711561288
"PumpHouse",2000,1,34593.4451864839,3.19354838709677,286.554839348387,154.709677419355,-0.580645161290323,-13.3064516129032,-6.94354838709677,243.870967741935,17.6659223930009,0,-0.260370010826045,-0.472656561684608,-1.80270234933773,-2.11642027524991,-1.58320788848459,-0.71066988273519,0.103793049029717,0.336864279002021,0.533670946512874,0.781894291496535,0.392318211905974,0.268767006640162
"PumpHouse",2000,2,37968.3310883621,3.68965517241379,377.048271441379,234.896551724138,2.39655172413793,-11.948275862069,-4.77586206896552,253.793103448276,27.4484927154668,0,-0.890450972805219,-0.68124766052734,-0.72025520973557,-1.88675396369928,-2.19423425403001,-1.59735546287886,-0.86236294215808,-0.0550615689242157,0.230912893930305,0.429672899062454,0.677104077745319,0.313669776047088
